Fabricant;Produit;Reference;Quantité;Réel;Activé;"Prix Achat";"Prix Vente";"Total Achat";"Total Vente"
"Marie qui défait les noeuds";"Porte-clef Marie qui défait les nœuds";75-UNITE;13;;Oui;2.25;4.17;29.25;54.17
"Marie qui défait les noeuds";"Postal ""Maria escucha mis ruegos"" (ES)";68-UNITE;958;;Oui;0.11;1.25;105.38;1197.50
"Marie qui défait les noeuds";"Postcard ""Mary Hear my Prayer"" (EN)";67-UNITE;933;;Oui;0.10;1.25;93.30;1166.25
"Marie qui défait les noeuds";"Segnalibro Confezione di 10 esemplari (IT)";65-LOT10;88;;Oui;0.06;8.33;5.28;733.33
"Marie qui défait les noeuds";"Statue Marie qui défait les nœuds - 22 cm";48-UNITE;2;;Non;11.33;29.17;22.66;58.33
"Marie qui défait les noeuds";"Statuette Marie qui défait les nœuds - 11,5cm";74-UNITE;0;;Oui;6.49;12.50;0.00;0.00
"MDN Productions";"(plus utilisé) Lot de 10 livrets - JESUS, LE MESSIE ATTENDU PAR ISRAËL - port offert";27-LOT10;0;;Non;6.10;64.45;0.00;0.00
"MDN Productions";"(plus utilisé) Lot de 10 livrets - LUMIÈRE DU MONDE - port offert";25-LOT10;0;;Non;6.10;64.45;0.00;0.00
"MDN Productions";"(plus utilisé) Lot de 10 livrets JOSEPH MODELE DE VIE - port offert";24-LOT10;0;;Non;6.10;64.45;0.00;0.00
"MDN Productions";"(plus utilisé) Lot de 10 livrets LE LINCEUL DE TURIN, nouvelle preuve de la résurrection du Christ - port offert";30-LOT10;0;;Non;6.10;47.39;0.00;0.00
"MDN Productions";"(plus utilisé) Lot de 10 livrets MARIE ET LA FRANCE - port offert";21-LOT10;0;;Non;6.10;54.98;0.00;0.00
"MDN Productions";"365 méditations sur la Vierge Marie";51-UNITE;2;;Non;0.00;0.00;0.00;0.00
"MDN Productions";"Affiche A4 Marie qui défait les Noeuds - Nouvelle version";157-UNITE;158;;Oui;0.19;2.50;30.65;395.00
"MDN Productions";"Affiche A4 Marie qui défait les Noeuds - Nouvelle version";157-UNITE;13;;Oui;0.19;2.50;2.52;32.50
"MDN Productions";"Affiche A4 Marie qui défait les Noeuds - Nouvelle version";157-UNITE;145;;Oui;0.19;2.50;28.13;362.50
"MDN Productions";"Carte image Marie qui défait les Noeuds";114-UNITE;2724;;Oui;0.61;1.25;1661.64;3405.00
"MDN Productions";"Carte image Marie qui défait les Noeuds";114-UNITE;0;;Oui;0.61;1.25;0.00;0.00
"MDN Productions";"Carte image Marie qui défait les Noeuds";114-UNITE;2662;;Oui;0.61;1.25;1623.82;3327.50
"MDN Productions";"Carte image Marie qui défait les Noeuds";114-UNITE;62;;Oui;0.61;1.25;37.82;77.50
"MDN Productions";"Carte postale aux Coeurs Unis";126-UNITE;0;;Non;0.61;1.67;0.00;0.00
"MDN Productions";"Carte postale Marie qui défait les Noeuds - Nouvelle version";156-UNITE;214;;Oui;0.33;1.25;71.45;267.50
"MDN Productions";"Carte postale Marie qui défait les Noeuds - Nouvelle version";156-UNITE;133;;Oui;0.33;1.25;44.41;166.25
"MDN Productions";"Carte postale Marie qui défait les Noeuds - Nouvelle version";156-UNITE;81;;Oui;0.33;1.25;27.05;101.25
"MDN Productions";"Carte postale Marie qui défait les Noeuds - Version originale";150-UNITE;304;;Oui;0.61;1.25;185.44;380.00
"MDN Productions";"Carte postale Marie qui défait les Noeuds - Version originale";150-UNITE;73;;Oui;0.61;1.25;44.53;91.25
"MDN Productions";"Carte postale Marie qui défait les Noeuds - Version originale";150-UNITE;231;;Oui;0.61;1.25;140.91;288.75
"MDN Productions";"EDITION GRATUITE - La Vocation de la France - Servir les cœurs unis de Jésus et Marie";103-GRATUIT;1777;;Non;0.61;0.00;1083.97;0.00
"MDN Productions";"EDITION GRATUITE Joseph, modèle de vie - Si important pour notre temps";90-GRATUIT;2473;;Non;0.61;0.00;1508.53;0.00
"MDN Productions";"EDITION GRATUITE Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ";89-GRATUIT;1296;;Oui;0.61;0.00;790.56;0.00
"MDN Productions";"EDITION GRATUITE Lumière du Monde - La beauté de l'Église et le génie catholique";91-GRATUIT;4846;;Oui;0.61;0.00;2956.06;0.00
"MDN Productions";"EDITION GRATUITE Maria Valtorta - Confirmation par la science";95-GRATUIT;1140;;Non;0.61;0.00;695.40;0.00
"MDN Productions";"EDITION GRATUITE Marie et la France - Un lien extraordinaire à redécouvrir";98-GRATUIT;3236;;Non;0.61;0.00;1973.96;0.00
"MDN Productions";"EDITION GRATUITE Marie et la France -Edition Notre Dame de Paris";144-GRATUIT;214;;Non;0.61;0.00;130.54;0.00
"MDN Productions";"EDITION GRATUITE Neuvaine de préparation pour se consacrer aux Cœurs Unis";112-GRATUIT;0;;Non;0.43;0.00;0.00;0.00
"MDN Productions";"Jésus, le Messie attendu par Israël - Selon les prophéties bibliques";26-UNITE;3716;;Oui;0.61;8.34;2266.76;30996.02
"MDN Productions";"Jésus, le Messie attendu par Israël - Selon les prophéties bibliques";26-UNITE;2966;;Oui;0.61;8.34;1809.26;24740.09
"MDN Productions";"Jésus, le Messie attendu par Israël - Selon les prophéties bibliques";26-UNITE;750;;Oui;0.61;8.34;457.50;6255.92
"MDN Productions";"Joseph, modèle de vie - Si important pour notre temps";23-UNITE;221;;Oui;0.56;8.34;124.57;1843.41
"MDN Productions";"Joseph, modèle de vie - Si important pour notre temps";23-UNITE;2568;;Oui;0.56;8.34;1447.50;21420.28
"MDN Productions";"Joseph, modèle de vie - Si important pour notre temps";23-UNITE;2347;;Oui;0.56;8.34;1322.93;19576.87
"MDN Productions";"Kit consécration 100 étoiles";119-KIT;0;;Non;0.00;11.67;0.00;0.00
"MDN Productions";"La Vocation de la France - Servir les cœurs unis de Jésus et Marie";102-UNITE;4922;;Oui;0.40;8.34;1968.80;41055.54
"MDN Productions";"La Vocation de la France - Servir les cœurs unis de Jésus et Marie";102-UNITE;336;;Oui;0.40;8.34;134.40;2802.65
"MDN Productions";"La Vocation de la France - Servir les cœurs unis de Jésus et Marie";102-UNITE;4586;;Oui;0.40;8.34;1834.40;38252.89
"MDN Productions";"Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ";29-UNITE;418;;Oui;0.61;6.45;254.98;2694.22
"MDN Productions";"Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ";29-UNITE;93;;Oui;0.61;6.45;56.73;599.43
"MDN Productions";"Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ";29-UNITE;325;;Oui;0.61;6.45;198.25;2094.79
"MDN Productions";"Livret de prière";118-UNITE;639;;Non;0.60;2.84;381.66;1817.06
"MDN Productions";"Lumière du Monde - La beauté de l'Église et le génie catholique";31-UNITE;2688;;Oui;0.61;8.34;1639.68;22421.23
"MDN Productions";"Lumière du Monde - La beauté de l'Église et le génie catholique";31-UNITE;1;;Oui;0.61;8.34;0.61;8.34
"MDN Productions";"Lumière du Monde - La beauté de l'Église et le génie catholique";31-UNITE;1;;Oui;0.61;8.34;0.61;8.34
"MDN Productions";"Lumière du Monde - La beauté de l'Église et le génie catholique";31-UNITE;2009;;Oui;0.61;8.34;1225.49;16757.54
"MDN Productions";"Lumière du Monde - La beauté de l'Église et le génie catholique";31-UNITE;677;;Oui;0.61;8.34;412.97;5647.01
"MDN Productions";"Lumières sur Nazareth  Version Française";49-UNITE;716;;Oui;6.63;26.54;4747.08;19002.84
"MDN Productions";"Lumières sur Nazareth Version Anglaise";99-UNITE;543;;Non;6.63;26.54;3600.09;14411.37
"MDN Productions";"Maria Valtorta - Confirmation par la science";94-UNITE;42;;Oui;0.61;8.34;25.62;350.33
"MDN Productions";"Maria Valtorta - Confirmation par la science";94-UNITE;42;;Oui;0.61;8.34;25.62;350.33
"MDN Productions";"Maria Valtorta - Confirmation par la science";94-UNITE;0;;Oui;0.61;8.34;0.00;0.00
"MDN Productions";"Mariam songs";;0;;Non;0.00;12.50;0.00;0.00
