"Nom produit";Référence;"Prix HT";Taxe;Actif;Catégorie
"Maria, Desatadora dos nós (PT)";70-UNITE;3.791469;"FR Taux réduit (5.5%)";1;"Langues étrangères"
"Marie d'ici et d'ailleurs";236-UNITE;17.061611;"FR Taux réduit (5.5%)";1;Accueil
"Marie de Nazareth";197-UNITE;15.071090;"FR Taux réduit (5.5%)";1;Accueil
"Marie des écritures";183-UNITE;16.872038;"FR Taux réduit (5.5%)";1;Accueil
"Marie et la France *Edition Notre Dame*";250-UNITE;8.436019;"FR Taux réduit (5.5%)";1;Accueil
"Marie qui défait les noeuds, d'un miracle à une dévotion";115-UNITE;8.341232;"FR Taux réduit (5.5%)";1;"Remise de 5% à partir de 3 livres"
"Marie qui défait les noeuds_le tableau !";230-UNITE;24.166667;"FR Taux standard (20%)";1;Accueil
"Marie qui défait les nœuds - Neuvaine intégrale, avec les citations bibliques";97-UNITE;6.540284;"FR Taux réduit (5.5%)";1;Accueil
"Marie, mon secret";180-UNITE;9.004739;"FR Taux réduit (5.5%)";1;Accueil
"Mary who Unties Knots (EN)";78-UNITE;3.791469;"FR Taux réduit (5.5%)";1;"Langues étrangères"
"Médaille Miraculeuse en aluminium blanc";200-UNITE;0.833333;"FR Taux standard (20%)";1;Accueil
"Médaille Miraculeuse en aluminium couleur or";199-UNITE;0.833333;"FR Taux standard (20%)";1;Accueil
"Méditer la parole avec la Vierge Marie";193-UNITE;4.644550;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine à l'Archange Saint Michel";124-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Neuvaines
"Neuvaine à l'Immaculée avec Maximilien Kolbe";121-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Neuvaines
"Neuvaine à l'Immaculée Conception";100-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Neuvaines
"Neuvaine à la Miséricorde Divine";146-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine à la Vierge Marie avec la petite Thérèse";92-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Neuvaines
"Neuvaine à Marie avec soeur Emmanuel de Medjugorje";226-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine à Marie qui défait les noeuds - Version originale 2022";140-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine à Marie qui Défait les Nœuds - pack complet avec Bougie de Neuvaine";195-UNITE;8.250000;"FR Taux standard (20%)";1;Accueil
"Neuvaine à Marie qui Défait les Nœuds édition reliée et enluminée - pack complet avec Bougie de Neuvaine";198-UNITE;19.083333;"FR Taux standard (20%)";1;Accueil
"Neuvaine à Marie Reine des Coeurs";142-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine à Marie, refuge des pêcheurs";260-UNITE;5.592417;"FR Taux réduit (5.5%)";1;Neuvaines
"Neuvaine à Notre Dame de Guadalupe";170-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine à Notre Dame de la Médaille Miraculeuse";131-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Neuvaines
"Neuvaine à Notre Dame de Pontmain pour soutenir l'Espérance";101-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Neuvaines
"Neuvaine à Notre Dame du Mont-Carmel avec les saints du Carmel";88-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Neuvaines
"Neuvaine à Notre Dame Libératrice du Sanctuaire de Montligeon";96-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Neuvaines
"Neuvaine à Padre Pio";148-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine à Saint Antoine de Padoue";145-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine à Saint Charbel";227-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine à Saint Jean Paul II _Témoin de la présence de Marie dans la vie de l’Église";182-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine à Saint Joseph pour la famille";82-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Neuvaines
"Neuvaine à saint Louis-Marie Grignion de Montfort";85-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Neuvaines
"Neuvaine à sainte Joséphine Bakhita";190-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine à Sainte Rita";225-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine à Soeur Joséfa Menendèz";172-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Accueil
"Neuvaine à St Joseph pour préparer Noël en méditant les mystères de l'Avent";130-UNITE;4.739336;"FR Taux réduit (5.5%)";1;Neuvaines
